2417,38,18,9,80,16
2835,105,61,61,239,357
3565,121,45,43,210,170
5327,66,54,48,87,70
5784,141,100,110,421,344
8455,282,131,109,368,189
10262,399,118,175,686,246
13114,553,306,338,1027,875
11581,493,151,180,356,241
10008,292,92,98,196,86
8313,282,77,54,187,73
5892,219,57,43,99,35
4062,139,37,38,116,46
3455,87,41,40,117,32
2248,93,48,19,68,32
1539,43,21,17,34,20
1073,30,28,16,26,10
1014,35,18,10,47,7
1054,30,10,14,22,12
986,37,29,12,36,13
582,20,12,9,8,2
572,20,16,0,17,4
488,12,15,1,7,4
451,14,6,3,13,5
500,26,27,19,12,4
322,15,20,7,53,2
197,15,14,8,43,4
247,13,23,11,21,3
218,13,20,3,23,5
251,11,20,2,17,6
177,13,8,2,8,0
224,20,10,4,38,10
184,4,12,3,10,3
139,6,8,1,12,20
189,9,17,7,21,35
108,11,15,5,6,26
167,2,23,5,21,7
83,4,14,8,23,5
117,7,16,9,30,4
91,4,15,11,104,16
110,5,10,10,90,11
112,13,28,10,134,35
119,11,44,11,47,27
151,13,60,6,183,134
156,15,58,11,120,67
170,16,144,5,154,112
128,26,75,8,98,94
93,24,10,8,134,50
93,8,12,9,132,10
89,4,10,5,48,10
44,12,11,10,42,6
0,7,20,13,45,16
263,33,29,18,63,23
248,18,30,5,126,67
323,17,16,1,68,19
328,19,15,10,94,14
611,29,17,7,102,18
948,24,17,13,47,16
480,29,19,24,56,32
323,14,5,9,22,20
238,14,22,2,70,30
148,47,32,21,41,33
150,18,36,23,35,65
156,9,25,9,51,46
143,8,22,10,39,18
104,8,7,4,25,29
112,5,43,8,69,35
73,29,16,3,27,35
90,19,26,2,34,12
101,9,10,4,12,9
52,21,21,13,17,8
48,12,16,4,74,13
101,12,19,4,15,19
107,7,28,1,14,14
106,4,9,2,8,10
120,21,12,4,8,6
115,7,16,3,8,1
99,3,18,7,14,6
135,9,22,0,6,2
108,10,23,3,22,16
115,7,8,3,19,6
93,13,14,7,8,1
76,11,16,3,9,7
82,8,11,2,10,1
72,8,7,2,14,3
73,5,5,2,1,1
89,6,5,6,14,9
90,6,29,3,0,0
90,8,25,3,10,5
105,2,7,6,2,6
83,0,16,14,8,3
98,5,10,1,21,1
64,4,10,0,8,1
79,7,15,2,19,3
70,9,11,2,8,2
101,7,5,0,2,0
83,6,11,4,7,89
67,7,9,2,11,1
175,16,10,4,1,1
233,13,3,11,30,5
287,16,7,1,27,2
274,12,10,6,17,3
187,30,18,8,15,1
198,19,10,0,14,5
538,19,10,5,8,8
803,37,17,9,37,14
1193,64,42,10,64,39
1721,69,38,15,17,10
1781,77,38,25,28,15
1627,75,35,12,12,10
1375,65,33,16,19,6
1513,67,14,7,21,18
1509,81,17,19,74,15
1511,38,33,15,26,17
1447,55,25,10,50,7
1372,42,29,32,28,23
1189,47,24,25,15,15
1388,51,20,16,19,17
1255,43,34,22,50,10
1037,33,32,7,28,17
769,24,17,11,12,4
781,25,17,2,41,3
649,19,7,6,20,4
581,15,9,5,46,5
558,16,13,3,9,2
421,8,7,6,2,3
452,19,6,4,12,0
360,15,10,3,2,2
319,14,15,10,8,3
299,8,8,5,2,0
285,11,18,4,5,4
262,6,9,4,8,2
189,13,7,4,5,0
170,9,17,5,3,1
160,16,23,6,15,4
130,15,15,2,8,1
124,4,5,1,8,0
128,4,9,3,5,0
91,6,8,3,10,2
123,4,5,0,4,1
150,16,5,1,0,2
140,3,5,2,3,10
78,2,9,2,10,3
93,3,9,0,12,0
102,4,3,3,6,1
87,2,4,1,3,1
116,2,16,4,7,6
122,2,7,4,7,2
60,3,17,3,8,0
81,4,4,0,3,1
88,10,16,9,34,6
95,10,10,2,15,2
152,8,6,12,3,0
113,5,6,3,13,3
119,3,27,1,8,3
38,4,15,1,5,3
50,1,1,3,7,1
