5,0,0,0,3,1
5,0,0,0,2,0
7,0,0,0,4,0
11,0,2,0,1,0
10,1,1,0,0,1
5,0,0,1,2,0
19,1,4,1,2,0
15,0,1,0,2,0
16,0,2,0,3,1
10,0,3,0,2,1
16,1,2,0,0,0
18,2,3,1,3,1
9,1,1,3,1,1
18,1,3,1,1,1
25,1,1,1,1,0
6,0,2,1,4,0
11,6,4,1,5,0
6,0,1,0,1,0
1,0,0,0,1,0
4,0,2,0,4,1
1,1,3,0,1,0
1,0,5,1,1,0
1,1,3,0,2,0
1,0,1,0,1,0
3,0,0,0,0,2
0,3,4,1,3,0
2,3,4,1,1,1
0,2,2,1,4,0
0,0,0,1,3,2
3,1,0,0,2,0
5,2,0,0,5,1
1,1,1,1,7,0
4,4,7,0,0,0
0,0,1,1,3,0
0,2,0,0,0,1
6,3,1,0,0,3
18,1,2,0,3,0
9,2,6,1,3,2
3,1,1,0,6,1
2,0,1,4,9,0
6,0,1,2,8,2
4,0,0,0,0,0
11,1,0,0,2,0
7,0,2,1,0,0
20,0,2,0,1,0
12,1,2,0,1,0
7,1,2,1,0,0
6,1,0,0,0,1
8,1,0,0,1,0
12,0,1,0,0,0
4,1,2,0,2,1
4,1,0,0,1,1
7,0,0,0,0,0
1,0,2,0,0,0
4,1,1,0,0,1
4,1,0,0,0,0
0,0,0,0,1,3
0,1,1,0,4,0
0,0,1,0,2,0
0,0,0,1,0,1
0,1,0,0,0,0
1,0,0,0,1,0
3,0,0,0,0,0
3,0,0,0,1,0
1,0,2,1,1,0
0,0,1,0,0,2
3,0,0,0,2,0
0,0,0,0,6,0
2,0,0,0,0,0
7,0,0,1,1,0
9,2,0,0,2,0
25,2,0,1,3,0
27,0,0,0,5,0
55,1,1,0,1,0
52,1,1,0,0,0
87,0,1,0,5,2
105,1,0,0,12,0
209,3,0,1,4,1
199,1,1,1,34,2
254,6,0,0,6,0
303,3,3,1,6,3
207,2,4,2,12,7
165,5,2,3,3,4
162,1,0,1,1,3
74,0,1,0,4,1
44,0,0,0,1,1
45,3,0,0,0,0
25,1,0,0,1,0
11,0,0,0,0,0
0,0,0,0,0,0
9,0,0,0,3,0
2,0,1,0,0,0
0,1,0,1,0,0
0,3,1,0,0,0
3,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,3,0
0,0,3,0,1,0
2,0,0,1,0,0
1,1,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
3,1,0,1,0,0
0,0,0,0,2,0
0,0,0,0,1,1
7,0,0,0,1,0
3,0,1,0,1,0
14,0,0,0,0,0
