10,3,17,3,8,5,1
5,7,25,7,49,17,2
7,9,25,4,25,7,3
8,5,15,5,48,5,4
10,12,28,8,19,6,5
6,31,26,15,69,21,6
12,12,26,21,71,26,7
10,25,27,16,61,31,8
15,26,21,7,35,12,11
17,29,38,17,65,20,13
20,27,32,17,60,21,14
24,36,32,19,31,5,15
12,35,41,24,77,13,16
28,20,32,19,47,0,17
20,44,26,16,33,8,18
12,48,42,22,30,7,19
11,20,23,17,27,5,20
8,29,27,7,10,5,21
12,18,27,12,45,3,22
4,16,22,6,20,6,23
1,25,7,9,26,5,24
0,12,20,12,19,2,25
1,9,20,4,35,5,26
2,8,25,5,8,4,30
1,10,21,4,1,2,31
5,24,16,5,8,1,32
2,6,22,3,1,4,33
0,8,14,5,10,9,34
2,6,22,10,11,19,35
0,3,44,10,10,2,37
0,6,22,6,4,3,39
2,16,79,9,5,7,43
0,7,17,11,17,4,45
6,15,26,10,21,13,46
1,12,13,18,23,16,47
10,7,18,7,36,24,49
3,11,20,9,33,3,50
0,9,20,2,17,5,52
8,64,49,16,66,21,53
2,18,45,16,24,14,54
8,10,33,7,67,8,56
5,9,27,4,35,7,58
6,8,25,11,11,14,60
9,18,21,15,25,5,61
6,14,21,1,20,6,62
4,17,23,12,24,9,64
4,19,22,11,23,10,66
8,32,19,9,20,5,68
5,14,18,7,10,8,70
8,28,42,4,52,11,72
8,14,27,5,21,4,73
4,28,38,11,24,5,74
2,19,11,4,6,7,75
4,14,21,2,14,2,76
1,6,12,4,5,0,78
0,8,12,4,3,2,79
0,3,12,1,16,9,80
0,12,16,0,6,4,81
0,7,28,6,9,5,82
0,5,27,1,5,2,83
2,3,9,2,7,1,84
0,5,8,3,2,0,85
0,8,8,5,1,2,86
0,7,31,3,2,1,88
0,3,9,6,2,12,90
1,5,17,3,3,1,92
2,4,13,0,5,1,93
2,4,11,6,4,1,95
1,6,6,6,4,4,97
3,11,9,5,9,6,99
2,7,5,4,16,5,100
3,6,7,2,5,2,101
3,4,12,1,15,9,102
1,8,12,5,3,2,103
0,6,4,1,1,2,104
8,7,8,1,7,5,105
10,9,13,4,26,8,106
7,21,12,2,35,5,107
12,14,16,3,37,4,108
15,13,11,10,10,2,109
32,4,12,7,108,6,110
45,15,15,9,25,6,111
63,18,39,14,63,20,112
117,33,40,22,221,50,113
121,48,24,10,64,19,114
118,48,29,28,87,36,116
135,53,30,7,64,23,118
91,72,31,20,60,11,119
66,30,18,18,38,7,120
47,29,12,13,58,9,121
65,29,14,8,38,8,122
22,14,12,11,23,1,125
13,6,8,3,12,4,126
15,18,14,8,36,3,127
10,16,2,2,19,2,128
6,14,12,20,17,3,129
8,5,8,3,8,3,130
7,6,7,5,5,8,131
0,5,12,3,16,3,132
0,1,9,0,3,1,134
5,35,13,9,17,2,135
2,3,3,2,4,1,137
5,8,7,0,12,3,138
0,4,7,1,8,0,139
5,3,5,3,8,1,141
1,3,8,1,0,2,145
3,3,6,2,5,1,150
2,5,15,4,24,3,151
9,6,3,2,18,1,152
6,0,3,1,0,3,157
