184,3,3,0,3,1
193,5,3,3,15,3
194,13,5,5,11,11
220,9,2,0,30,3
163,2,5,2,14,5
267,9,3,5,13,11
168,6,4,2,11,15
175,6,3,1,26,25
237,7,3,4,67,21
277,5,3,2,31,4
309,4,13,13,36,20
373,11,8,4,39,42
353,7,14,3,17,24
397,6,9,2,40,26
394,4,1,0,22,14
339,7,7,2,4,12
369,11,3,2,11,8
586,10,3,2,6,3
687,13,3,1,9,0
567,4,1,1,3,0
669,11,1,2,3,3
694,10,7,5,8,1
615,11,8,1,2,4
653,9,4,2,3,0
416,4,6,2,12,0
416,8,2,1,5,3
383,0,2,1,9,2
319,4,2,0,3,1
268,4,3,0,5,1
205,1,4,0,7,0
202,6,1,2,1,0
191,4,2,2,3,3
199,5,1,0,0,0
174,0,1,0,2,0
188,7,5,3,5,3
159,3,4,0,2,0
178,9,4,1,8,1
181,1,8,0,4,1
209,3,2,1,3,0
112,1,2,3,12,5
148,5,2,4,5,1
159,5,3,1,1,2
231,0,2,1,5,1
154,0,1,3,7,2
155,4,3,2,16,3
200,1,1,2,6,2
261,0,3,2,5,1
300,6,3,0,16,2
361,3,4,0,18,3
342,3,3,3,12,1
345,6,5,0,1,0
287,8,2,1,2,0
348,10,10,6,5,5
434,8,3,4,5,4
480,5,3,6,11,5
526,5,3,2,4,2
620,6,8,2,10,0
717,10,2,3,7,1
680,13,9,3,35,3
556,3,4,4,14,5
638,6,5,2,16,2
557,3,2,1,14,0
536,9,5,4,13,1
693,6,2,3,4,3
630,5,5,3,15,9
574,4,1,0,1,0
517,3,1,3,6,1
517,5,0,0,2,0
601,11,6,6,11,1
444,5,2,0,1,2
423,6,2,1,4,1
469,3,3,0,7,0
336,3,0,0,0,2
205,4,6,1,3,2
228,2,0,0,1,0
263,3,0,1,0,1
179,3,1,1,6,2
179,4,1,0,0,0
125,1,2,0,2,0
103,5,1,0,10,4
117,0,0,0,0,0
82,0,5,2,2,1
52,1,4,1,0,2
79,0,1,0,0,0
65,1,0,1,1,0
64,2,1,0,1,1
29,1,1,1,1,0
33,5,2,0,1,1
41,2,1,0,0,0
37,0,1,0,5,1
58,0,2,0,1,0
55,0,0,1,3,0
31,2,0,1,0,0
74,2,1,1,1,1
109,2,1,1,5,2
101,1,0,2,3,1
78,2,1,0,4,2
90,0,1,0,0,0
83,4,1,2,1,1
171,0,4,1,6,3
160,1,0,1,0,1
122,1,3,1,0,2
84,1,0,0,2,0
112,0,2,0,0,0
209,2,1,2,1,2
247,1,0,2,1,5
263,2,1,1,2,1
266,7,2,3,6,3
388,0,1,3,11,4
378,7,2,6,11,6
450,3,2,1,2,2
466,3,7,1,6,7
517,10,7,0,17,16
432,8,6,8,11,14
494,4,4,4,7,4
457,3,3,5,1,4
508,8,1,3,3,4
522,7,4,2,6,2
546,6,1,4,4,3
605,4,5,6,6,3
652,1,3,1,3,2
385,4,1,0,2,1
366,4,0,4,4,0
330,0,1,0,0,0
297,1,3,2,0,0
207,3,1,0,2,3
191,2,0,3,1,1
212,4,1,0,0,0
159,2,2,2,0,0
106,2,1,0,0,0
70,1,1,1,0,0
71,2,2,0,0,0
52,0,1,0,0,0
35,1,1,0,0,0
61,2,1,0,0,0
57,2,4,1,0,0
73,1,2,1,0,0
72,2,0,0,1,2
50,0,0,0,1,0
44,0,0,0,6,1
44,1,0,0,1,0
67,1,1,2,0,2
81,0,0,1,5,0
51,2,1,0,0,1
61,0,0,0,0,1
77,0,0,0,1,0
75,0,0,0,1,1
88,1,1,1,2,1
108,1,1,0,1,0
89,0,0,0,1,1
141,0,0,1,11,2
131,1,1,0,0,4
144,0,1,2,4,0
127,2,2,1,3,0
114,0,1,0,6,0
77,1,3,0,1,0
191,1,2,1,0,0
