652,101,113,51,184,113,2
650,71,88,35,143,73,3
1148,68,70,36,136,79,4
1799,135,166,58,292,225,5
2751,246,134,107,439,185,6
3513,248,142,76,339,138,7
3771,285,134,92,318,195,8
3939,203,154,87,261,123,10
6680,387,195,137,496,190,11
10585,931,537,369,1349,569,12
10408,789,215,215,354,198,16
9527,635,154,130,219,137,18
8683,745,148,141,282,104,19
6937,499,162,143,234,144,20
5244,343,225,77,219,54,21
4090,305,159,72,437,80,22
2367,187,108,50,198,41,23
1756,169,91,71,205,61,24
501,125,95,35,234,68,27
464,121,61,59,157,55,28
372,98,76,39,91,38,29
269,95,84,32,61,26,31
285,75,71,15,53,14,32
277,91,82,27,52,25,33
428,86,94,79,318,140,40
462,90,91,44,200,72,41
600,141,205,61,144,197,43
526,85,81,87,396,135,44
684,85,86,49,184,83,45
548,82,81,39,195,79,46
897,111,127,64,287,119,47
874,110,155,71,297,108,48
1042,86,76,48,319,121,49
574,126,69,56,158,49,51
2125,268,184,136,463,136,53
2429,130,126,84,167,112,54
3144,160,91,41,272,118,55
3592,101,133,59,398,91,56
4023,109,137,73,466,106,57
4954,109,92,37,252,105,58
5954,127,160,113,330,168,59
7011,118,70,40,125,63,60
12315,286,137,63,247,82,62
15331,297,127,71,218,94,64
16723,308,95,58,200,74,66
21106,336,92,98,428,125,67
24751,511,137,87,453,149,68
24249,668,192,253,751,220,69
21802,491,123,130,311,170,70
20552,627,153,184,336,133,71
17914,496,168,111,463,99,72
8882,312,56,50,91,47,75
2465,191,53,46,64,36,79
1610,155,61,46,85,42,80
1252,98,53,23,50,33,81
909,85,76,55,81,38,82
879,50,53,28,30,17,84
743,52,41,18,25,21,86
532,51,49,15,59,14,87
385,36,76,16,15,14,88
438,66,62,21,86,19,89
332,20,68,41,106,19,91
368,37,51,22,62,13,92
326,36,49,22,36,13,93
393,38,45,16,75,25,96
335,60,37,26,67,10,98
374,74,56,14,68,17,99
513,55,37,26,211,36,100
543,85,61,16,59,23,101
635,58,52,17,64,23,102
545,65,78,23,73,17,103
1144,71,55,26,62,39,105
1723,186,91,52,273,88,107
2175,170,79,43,318,90,108
2589,159,82,41,179,54,109
2605,173,83,41,203,72,110
3385,183,86,33,116,46,111
7403,399,103,58,374,107,113
7701,387,58,60,207,94,114
10415,535,107,97,360,94,115
10340,708,229,132,398,90,117
12792,1027,263,237,529,174,119
10727,712,129,162,347,145,120
7610,483,124,106,204,108,121
5384,372,87,62,200,80,122
3123,244,74,50,81,32,124
1129,140,52,27,89,17,127
743,114,45,58,38,18,129
531,103,52,18,44,20,130
411,78,60,18,27,17,131
352,77,43,23,49,15,132
299,60,38,20,14,17,133
157,41,65,8,17,9,134
182,106,81,29,60,24,135
132,125,74,10,83,29,136
101,49,35,20,62,10,137
98,45,40,20,36,26,139
105,45,31,22,21,23,140
94,52,44,18,30,76,142
133,45,41,10,64,13,143
100,44,41,8,53,20,144
103,36,37,12,34,14,145
127,39,45,24,52,16,147
82,40,30,24,38,17,149
175,64,41,19,216,39,151
203,59,43,14,38,31,152
175,53,34,26,42,22,154
91,64,85,18,54,21,155
80,47,51,16,32,24,156
188,9,12,9,9,7,157
