32,3,3,1,6,2,1
22,10,4,0,11,10,2
22,5,5,5,31,6,3
50,8,1,2,17,18,4
80,8,11,5,20,5,5
110,12,9,15,44,22,6
166,15,11,10,54,33,7
158,23,7,10,34,14,8
164,16,11,6,55,16,9
181,9,7,10,28,17,10
289,25,23,11,51,10,11
354,20,16,14,33,24,12
349,26,10,6,38,7,13
517,38,14,10,24,15,14
411,27,4,5,9,3,15
513,10,9,4,12,4,16
526,26,10,1,16,7,17
447,17,6,8,9,6,18
431,11,11,7,9,12,19
323,22,4,6,20,3,20
167,5,6,3,9,4,21
89,8,8,3,16,5,22
45,5,3,3,10,2,23
21,6,0,0,11,2,24
8,4,0,0,11,1,25
12,5,4,1,8,2,26
6,3,5,1,15,5,27
7,6,0,5,7,1,28
6,2,6,1,10,0,29
0,8,5,2,14,2,30
5,4,5,0,3,5,31
2,0,2,1,0,2,32
0,1,6,2,5,2,33
0,1,8,1,4,5,34
1,3,2,3,10,4,35
0,1,4,1,9,6,36
0,1,3,7,7,7,37
3,2,6,2,13,2,38
4,4,2,4,12,5,39
1,4,2,1,23,7,40
2,3,2,1,20,1,41
2,7,6,2,6,0,42
3,3,10,1,6,4,43
4,1,2,3,11,1,44
2,3,9,9,13,7,45
0,2,2,1,2,2,46
7,1,4,1,13,2,47
2,1,7,2,13,2,48
4,4,4,3,42,3,49
8,3,8,1,18,4,50
14,1,1,3,8,2,51
0,2,8,0,9,2,52
9,6,6,4,12,1,53
19,6,3,2,11,4,54
12,6,5,3,22,13,55
15,9,6,0,20,4,56
15,4,2,0,10,8,57
6,0,1,2,19,6,58
4,5,10,6,30,2,59
8,3,4,1,1,2,60
13,5,7,1,12,2,61
6,0,4,1,17,6,62
6,3,4,2,11,0,63
11,3,3,2,9,5,64
6,0,1,3,18,6,65
9,3,0,0,7,0,66
9,0,2,0,13,2,67
8,2,1,0,14,1,68
3,6,4,1,12,2,69
16,1,2,0,4,1,70
14,4,1,3,8,1,71
1,4,2,0,21,0,72
4,2,3,2,2,1,73
0,5,2,0,2,6,74
6,8,0,3,1,3,75
3,5,2,0,2,0,76
6,3,1,1,9,0,77
4,3,1,0,5,0,78
2,1,1,2,10,0,79
4,1,2,0,2,2,80
4,1,3,0,0,0,81
1,1,1,0,3,4,82
3,0,0,1,0,1,83
0,0,2,0,3,0,84
0,0,1,0,0,0,85
4,0,1,0,2,0,86
1,1,1,0,0,0,87
0,0,4,2,1,1,88
1,0,2,0,3,1,89
0,1,2,0,0,0,90
3,0,0,0,0,0,91
3,0,0,0,1,0,92
2,0,1,1,2,0,93
3,0,1,0,0,0,94
3,1,1,1,1,3,95
1,2,1,1,5,0,96
3,0,4,0,0,1,97
5,2,1,0,0,7,98
3,0,3,0,3,1,99
8,0,1,1,4,1,100
11,4,0,0,0,0,101
4,2,5,0,5,0,102
2,1,0,0,4,1,103
3,3,2,1,1,2,104
13,0,1,0,0,0,105
39,2,1,0,2,0,106
29,5,2,1,2,4,107
41,5,6,2,10,11,108
56,7,5,0,1,3,109
74,2,6,1,15,1,110
129,7,4,4,8,0,111
222,11,4,1,6,0,112
307,5,6,5,11,4,113
450,8,1,0,2,4,114
608,17,3,3,7,4,115
835,21,5,8,9,9,116
775,21,7,5,17,4,117
1097,49,7,10,9,5,118
1462,37,11,4,28,8,119
1404,30,9,8,10,8,120
1071,17,4,4,6,3,121
966,26,5,6,10,4,122
659,17,5,2,5,3,123
410,12,2,1,4,7,124
206,8,2,1,0,2,125
95,9,5,2,3,0,126
68,9,6,1,5,0,127
50,7,3,0,3,3,128
21,0,2,6,2,6,129
16,7,2,0,2,2,130
4,5,2,0,1,3,131
4,8,2,1,5,1,132
3,3,9,2,1,1,133
0,2,3,1,3,0,134
3,2,1,2,3,1,135
5,4,4,0,2,0,136
1,0,2,0,0,0,137
0,0,1,0,2,0,138
4,4,3,0,1,0,139
3,4,2,0,1,0,140
4,2,2,1,1,2,141
1,1,1,1,0,3,142
6,3,0,1,2,1,143
0,2,0,3,4,1,144
3,1,1,0,1,0,145
9,0,2,0,0,0,146
3,1,4,0,0,1,147
1,0,2,0,0,0,148
1,0,4,1,3,1,149
1,2,0,0,0,0,150
6,4,5,1,4,0,151
11,2,2,0,1,0,152
9,1,2,1,3,4,153
3,1,1,1,3,0,154
7,5,2,3,0,1,155
0,0,3,1,1,0,156
6,0,0,0,0,0,157
