2417,38,18,9,80,16,1
2835,105,61,61,239,357,2
5327,66,54,48,87,70,4
5784,141,100,110,421,344,5
10262,399,118,175,686,246,7
13114,553,306,338,1027,875,8
11581,493,151,180,356,241,9
10008,292,92,98,196,86,10
8313,282,77,54,187,73,11
5892,219,57,43,99,35,12
4062,139,37,38,116,46,13
3455,87,41,40,117,32,14
1539,43,21,17,34,20,16
1073,30,28,16,26,10,17
1014,35,18,10,47,7,18
1054,30,10,14,22,12,19
986,37,29,12,36,13,20
582,20,12,9,8,2,21
572,20,16,0,17,4,22
488,12,15,1,7,4,23
500,26,27,19,12,4,25
322,15,20,7,53,2,26
197,15,14,8,43,4,27
218,13,20,3,23,5,29
251,11,20,2,17,6,30
177,13,8,2,8,0,31
224,20,10,4,38,10,32
184,4,12,3,10,3,33
139,6,8,1,12,20,34
189,9,17,7,21,35,35
108,11,15,5,6,26,36
167,2,23,5,21,7,37
83,4,14,8,23,5,38
117,7,16,9,30,4,39
112,13,28,10,134,35,42
151,13,60,6,183,134,44
156,15,58,11,120,67,45
170,16,144,5,154,112,46
128,26,75,8,98,94,47
93,24,10,8,134,50,48
93,8,12,9,132,10,49
44,12,11,10,42,6,51
0,7,20,13,45,16,52
263,33,29,18,63,23,53
248,18,30,5,126,67,54
328,19,15,10,94,14,56
611,29,17,7,102,18,57
948,24,17,13,47,16,58
480,29,19,24,56,32,59
238,14,22,2,70,30,61
148,47,32,21,41,33,62
156,9,25,9,51,46,64
143,8,22,10,39,18,65
104,8,7,4,25,29,66
112,5,43,8,69,35,67
73,29,16,3,27,35,68
52,21,21,13,17,8,71
106,4,9,2,8,10,75
120,21,12,4,8,6,76
115,7,16,3,8,1,77
135,9,22,0,6,2,79
108,10,23,3,22,16,80
115,7,8,3,19,6,81
93,13,14,7,8,1,82
82,8,11,2,10,1,84
73,5,5,2,1,1,86
89,6,5,6,14,9,87
90,8,25,3,10,5,89
83,0,16,14,8,3,91
98,5,10,1,21,1,92
64,4,10,0,8,1,93
79,7,15,2,19,3,94
70,9,11,2,8,2,95
83,6,11,4,7,89,97
67,7,9,2,11,1,98
175,16,10,4,1,1,99
233,13,3,11,30,5,100
274,12,10,6,17,3,102
187,30,18,8,15,1,103
198,19,10,0,14,5,104
803,37,17,9,37,14,106
1721,69,38,15,17,10,108
1781,77,38,25,28,15,109
1627,75,35,12,12,10,110
1509,81,17,19,74,15,113
1447,55,25,10,50,7,115
1372,42,29,32,28,23,116
781,25,17,2,41,3,122
649,19,7,6,20,4,123
581,15,9,5,46,5,124
558,16,13,3,9,2,125
421,8,7,6,2,3,126
360,15,10,3,2,2,128
319,14,15,10,8,3,129
299,8,8,5,2,0,130
285,11,18,4,5,4,131
189,13,7,4,5,0,133
160,16,23,6,15,4,135
124,4,5,1,8,0,137
91,6,8,3,10,2,139
123,4,5,0,4,1,140
150,16,5,1,0,2,141
78,2,9,2,10,3,143
102,4,3,3,6,1,145
87,2,4,1,3,1,146
116,2,16,4,7,6,147
122,2,7,4,7,2,148
88,10,16,9,34,6,151
119,3,27,1,8,3,155
50,1,1,3,7,1,157
