522,55,55,27,56,26
650,71,88,35,143,73
1148,68,70,36,136,79
1799,135,166,58,292,225
2751,246,134,107,439,185
3513,248,142,76,339,138
3526,278,192,149,237,178
6680,387,195,137,496,190
10585,931,537,369,1349,569
14350,980,507,302,700,319
10408,789,215,215,354,198
11648,681,197,190,300,142
9527,635,154,130,219,137
8683,745,148,141,282,104
6937,499,162,143,234,144
5244,343,225,77,219,54
4090,305,159,72,437,80
2367,187,108,50,198,41
1756,169,91,71,205,61
1116,150,110,54,171,62
944,164,115,60,194,78
464,121,61,59,157,55
269,95,84,32,61,26
285,75,71,15,53,14
277,91,82,27,52,25
220,38,72,23,99,29
201,67,134,147,327,143
261,69,159,70,185,83
358,47,95,32,179,42
435,78,95,49,198,44
462,90,91,44,200,72
684,85,86,49,184,83
897,111,127,64,287,119
874,110,155,71,297,108
1042,86,76,48,319,121
992,126,96,62,374,142
260,84,107,20,178,67
2125,268,184,136,463,136
2429,130,126,84,167,112
3592,101,133,59,398,91
4954,109,92,37,252,105
7011,118,70,40,125,63
12315,286,137,63,247,82
12350,247,160,144,313,105
16345,312,99,77,256,80
16723,308,95,58,200,74
21106,336,92,98,428,125
24249,668,192,253,751,220
16053,358,124,73,230,104
12795,421,163,92,191,93
7183,268,78,50,125,41
4854,210,55,48,84,36
3374,175,56,45,82,56
1610,155,61,46,85,42
1252,98,53,23,50,33
909,85,76,55,81,38
1012,99,79,46,46,32
914,46,50,19,54,20
743,52,41,18,25,21
532,51,49,15,59,14
385,36,76,16,15,14
438,66,62,21,86,19
435,49,39,25,36,39
332,20,68,41,106,19
368,37,51,22,62,13
326,36,49,22,36,13
425,56,52,21,79,23
513,55,37,26,211,36
543,85,61,16,59,23
484,44,26,26,36,24
1144,71,55,26,62,39
2175,170,79,43,318,90
2589,159,82,41,179,54
2605,173,83,41,203,72
3385,183,86,33,116,46
6205,351,139,50,200,78
10415,535,107,97,360,94
10511,663,135,207,325,134
10340,708,229,132,398,90
12792,1027,263,237,529,174
10727,712,129,162,347,145
5384,372,87,62,200,80
3123,244,74,50,81,32
2372,166,62,52,55,27
1129,140,52,27,89,17
928,117,52,20,34,13
743,114,45,58,38,18
531,103,52,18,44,20
411,78,60,18,27,17
352,77,43,23,49,15
299,60,38,20,14,17
157,41,65,8,17,9
182,106,81,29,60,24
132,125,74,10,83,29
134,83,36,27,91,17
105,45,31,22,21,23
133,30,22,10,45,19
94,52,44,18,30,76
133,45,41,10,64,13
100,44,41,8,53,20
103,36,37,12,34,14
99,36,28,15,50,17
127,39,45,24,52,16
133,50,32,27,33,24
82,40,30,24,38,17
175,64,41,19,216,39
203,59,43,14,38,31
175,53,34,26,42,22
91,64,85,18,54,21
188,9,12,9,9,7
